Item No.	PART NUMBER	revision	QTY	Description	Material	Finish	Treatment	Colour	Comments	SecondProcess	Third Process	Author	Approved	Asset	SW-Folder Name(Folder Name)	SW-File Name(File Name)	SW-Configuration Name(Configuration Name)	Distributor	mass	DrawnDate	OEM_Internet	OEM_Supplier	OEM_Data_Sheet	Qb_Code	QB_Catergory	Sheet Metal Thickness	Spare_Part	Supplier_Part_Number
1.1.3.5	      OEM-AC40C-04CE3-R-B		1	FILTERS AND PRESSURE GAUGE COMBO	PER DATASHEET	NATURAL			PURCHASE			DMG			C:\AWS PDM\OEM\1038. Pneumatics\	OEM-AC40C-04CE3-R-B	Default	SMC	0.00	24/08/2021			W:\Solidworks\Proprietry\3 QBooks Cat\OEM Data Sheets\AC40C-04CE3-R-B.pdf	1038	Pneumatics		YES	AC40C-04CE3-R-B
1.1.3.6	      OEM-KQ2H16-04NS	-	1	KQ2, ONE-TOUCH FITTING 1/2 TO 16.0MM	REFER DATA SHEET	NATURAL			PURCHASE			DMG			C:\AWS PDM\OEM\1038. Pneumatics\	OEM-KQ2H16-04NS	Default		0.0	03/06/2019	https://smcpartbuilder.com/product-search-results/KQ2H16-04NS	SMC		1038	Pneumatics		YES	KQ2H16-04NS
1.1.4	    AWS-A-010942		1	J200684 PALLET LINE GUARD KIT	PER DATASHEET	NATURAL			PURCHASE			FQ			C:\AWS PDM\AWS\007000-014000\	AWS-A-010942	Default_speedpak		0.0	20/10/2021							-	
1.1.4.1	      XXX-X-000624		1														Default											
1.1.4.2	      Copy of pallet line guarding^AWS-A-010942		1														Default											
1.1.4.3	      Copy of guard-doubledoorfinal^AWS-A-010942		1														Default											
1.1.4.3.1	        Copy of Copy of Copy of P11-230^Copy of guard-doubledoorfinal_AWS-A-010942		1		Material <not specified>										C:\Users\francisco\AppData\Local\Temp\swx1268\VC~~\1455219005\	Copy of Copy of Copy of P11-230^Copy of guard-doubledoorfinal_AWS-A-010942	Default		0.0									
1.1.4.3.2	        Copy of Copy of Copy of 322-220150^Copy of guard-doubledoorfinal_AWS-A-010942		2														Default											
1.1.4.3.3	        Copy of Copy of Copy of D3K_1^Copy of guard-doubledoorfinal_AWS-A-010942		1																									
1.1.4.3.4	        Copy of Copy of Copy of BOX^Copy of guard-doubledoorfinal_AWS-A-010942		1																									
1.1.4.3.5	        Copy of Copy of Copy of W322-220150^Copy of guard-doubledoorfinal_AWS-A-010942		2														Default											
1.1.4.3.6	        Copy (3) of Copy of Copy of P11-230^Copy of guard-doubledoorfinal_AWS-A-010942		3		Material <not specified>										C:\Users\francisco\AppData\Local\Temp\swx1268\VC~~\1455219005\	Copy (3) of Copy of Copy of P11-230^Copy of guard-doubledoorfinal_AWS-A-010942	Default		0.0									
1.1.4.3.7	        Copy of P11-230^Copy of guard-doubledoorfinal_AWS-A-010942		25														Default											
1.1.4.3.8	        Copy of W322-220050^Copy of guard-doubledoorfinal_AWS-A-010942		1														Default											
1.1.4.3.9	        Copy of W322-220130^Copy of guard-doubledoorfinal_AWS-A-010942		1														Default											
1.1.4.3.10	        Copy of 322-220150^Copy of guard-doubledoorfinal_AWS-A-010942		1														Default											
1.1.4.3.11	        Copy of D3K^Copy of guard-doubledoorfinal_AWS-A-010942		1														Default											
1.1.4.3.12	        Copy of W322-220150^Copy of guard-doubledoorfinal_AWS-A-010942		11														Default											
1.1.4.3.13	        Copy of W322-220110^Copy of guard-doubledoorfinal_AWS-A-010942		2														Default											
1.1.4.3.14	        Copy of W322-220100^Copy of guard-doubledoorfinal_AWS-A-010942		2														Default											
1.1.4.3.15	        Copy of W322-220080^Copy of guard-doubledoorfinal_AWS-A-010942		1														Default											
1.1.4.3.16	        Copy (2) of Copy of Copy of P11-230^Copy of guard-doubledoorfinal_AWS-A-010942		1		Material <not specified>										C:\Users\francisco\AppData\Local\Temp\swx1268\VC~~\1455219005\	Copy (2) of Copy of Copy of P11-230^Copy of guard-doubledoorfinal_AWS-A-010942	Default		0.0									
1.1.4.3.17	        Copy of D3K_2^Copy of guard-doubledoorfinal_AWS-A-010942		1														Default											
1.1.4.3.18	        Copy of W322-220060^Copy of guard-doubledoorfinal_AWS-A-010942		1														Default											
1.1.4.3.19	        Copy of W322-220150_1^Copy of guard-doubledoorfinal_AWS-A-010942		1														Default											
1.1.4.3.20	        Copy of W322-220130_1^Copy of guard-doubledoorfinal_AWS-A-010942		1														Default											
1.1.4.3.21	        Copy of 322-220090^Copy of guard-doubledoorfinal_AWS-A-010942		1														Default											
1.1.4.3.22	        Copy of W322-220150_2^Copy of guard-doubledoorfinal_AWS-A-010942		1														Default											
1.1.4.3.23	        Assem2^Copy of guard-doubledoorfinal_AWS-A-010942		1														Default											
1.1.4.3.24	        Assem3^Copy of guard-doubledoorfinal_AWS-A-010942		1		Material <not specified>										C:\Users\francisco\AppData\Local\Temp\swx1268\VC~~\1455219005\	Assem3^Copy of guard-doubledoorfinal_AWS-A-010942	Default		0.0									
1.1.4.3.24.1	          Copy of Copy of W322-220150^Assem3_Copy of guard-doubledoorfinal_AWS-A-010942		2		Material <not specified>										C:\Users\francisco\AppData\Local\Temp\swx1268\VC~~\1095808872\	Copy of Copy of W322-220150^Assem3_Copy of guard-doubledoorfinal_AWS-A-010942	Default		0.0									
1.1.4.3.24.2	          Copy of Copy of P11-230^Assem3_Copy of guard-doubledoorfinal_AWS-A-010942		3		Material <not specified>										C:\Users\francisco\AppData\Local\Temp\swx1268\VC~~\1095808872\	Copy of Copy of P11-230^Assem3_Copy of guard-doubledoorfinal_AWS-A-010942	Default		0.0									
1.1.5	    OEM-F3SG-4RE1230P30		1	SAFETY LIGHT CURTAIN 1230MM		NATURAL			PURCHASE			DMG			C:\AWS PDM\oem\1046. sensors\	OEM-F3SG-4RE1230P30	Default	OMRON		14/05/2021	http://www.omron.com.au/products/family/3403/		W:\Solidworks\Proprietry\3 QBooks Cat\OEM Data Sheets\1046_F3SG LIGHT CURTAIN.pdf	1046	Sensors		YES	F3SG-4RE1230P30
1.1.6	    AWS-Z-010955		1	PRINTER WITH STAND	PER BOM	NATURAL			ASSEMBLY						C:\AWS PDM\AWS\007000-014000\	AWS-Z-010955	Default		32.7	22/10/2021							-	
1.1.6.1	      AWS-B-010954		1	PAINTED PRINTER STAND	PER BOM	POWDERCOAT		PEARL WHITE - GLOSS: 236,242,241	PAINT			FQ			C:\AWS PDM\AWS\007000-014000\	AWS-B-010954	Default		5.7	22/10/2021							-	
1.1.6.1.1	        AWS-B-010953		1	PRINTER STAND	PER BOM	NATURAL			WELDING			FQ			C:\AWS PDM\AWS\007000-014000\	AWS-B-010953	Default		5.7	22/10/2021							-	
1.1.6.1.1.1	          AWS-A-010951		1	PRINTER STAND BASE PLATE	MS - GR250	NATURAL			LASERCUT			FQ			C:\AWS PDM\AWS\007000-014000\	AWS-A-010951	Default		0.2	22/10/2021						4	-	
1.1.6.1.1.1.1	            		1	Sheet	MS - GR250												Default		0.2							4		
1.1.6.1.1.2	          AWS-A-010952		1	PRINTER STAND POLE	MS - GR250	NATURAL			CUTTING			FQ			C:\AWS PDM\AWS\007000-014000\	AWS-A-010952	Default<As Machined>		3.4	22/10/2021							-	
1.1.6.1.1.2.1	            		1	50x50x3 SHS	AS 1163-C350LO												Default<As Machined>		3.4									
1.1.6.1.1.3	          AWS-A-010914		1	PRINTER TRAY	MS - GR250	NATURAL			LASERCUT	FOLDING	WELDING	FQ			C:\AWS PDM\AWS\007000-014000\	AWS-A-010914	Default		2.1	19/10/2021						3	-	
1.1.6.1.1.3.1	            		1	Sheet	MS - GR250												Default		2.1							3		
1.1.6.2	      OEM-UX-E160W		1	INKJET PRINTER	REFER DATA SHEET	NATURAL			PURCHASE			FQ			C:\AWS PDM\OEM\1034. Misc Component\	OEM-UX-E160W	Default	VISYTECH	27.0	09/09/2021		HITACHI	W:\Solidworks\Proprietry\3 QBooks Cat\OEM Data Sheets\Hitachi UX EU.pdf	1034	Misc Component		YES	UX-E160W
1.2	  AWS-Z-001558	1	1	 CONVEYOR - 3 STATION 3 DRIVE	AS PER BOM	NATURAL			ASSEMBLY			CL	 		C:\AWS PDM\AWS Modules\Conveyors\	AWS-Z-001558	Default		840.9	19/08/2020							-	
1.2.1	    AWS-B-001923	2	1	CONVEYOR 3 STATION PAINTED	AS PER BOM	POWDERCOAT		PEARL WHITE - GLOSS: 236,242,241	PAINT			CL	CL		C:\AWS PDM\AWS\	AWS-B-001923	Default		362.1	19/08/2020							-	
1.2.1.1	      AWS-B-001589	3	1	CONVEYOR 3 STATION WELDMENT	MS	NATURAL			WELDING			CL	CL		C:\AWS PDM\AWS\	AWS-B-001589	Default		362.1	19/08/2020							-	
1.2.1.1.1	        AWS-B-001562	4	1	CONVEYOR STRINGER WELDMENT - DRIVE SIDE	MS	NATURAL			WELDING			CL	CL		C:\AWS PDM\AWS\	AWS-B-001562	Default		150.3	19/08/2020							-	
1.2.1.1.1.1	          AWS-A-001561	3	1	CONVEYOR DRIVE STRINGER - 3 DRIVE	MS - GR250	NATURAL			3D LASER			CL	CL		C:\AWS PDM\AWS\	AWS-A-001561	Default<As Machined>		79.5	19/08/2020							-	
1.2.1.1.1.1.1	            	INIT-01	1	180 PFC	BHP - 300 PLUS							pdmwadmin					Default<As Machined>		79.5									
1.2.1.1.1.2	          AWS-B-001560	1	3	CONVEYOR SUPPORT LEG WELDMENT	MS	NATURAL			WELDING			CL	CL		C:\AWS PDM\AWS\	AWS-B-001560	Default		5.0	19/08/2020							-	
1.2.1.1.1.2.1	            AWS-A-001559	1	1	SUPPORT LEG	MS - C350LO	NATURAL			CUTTING			CL	DG		C:\AWS PDM\AWS\	AWS-A-001559	Default<As Machined>		3.3	19/08/2020							-	
1.2.1.1.1.2.1.1	              		1	75x75x5.0 SHS	AS 1163-C350LO												Default<As Machined>		3.3									
1.2.1.1.1.2.2	            AWS-A-001557	2	1	SUPPORT LEG FOOT PLATE	MS - GR250	NATURAL			LASERCUT			CL	DG		C:\AWS PDM\AWS\	AWS-A-001557	Default		1.7	19/08/2020						16	-	
1.2.1.1.1.2.2.1	              		1	Sheet	MS - GR250												Default		1.7							16		
1.2.1.1.1.3	          AWS-A-001566	2	1	HEAD DRIVE PLATE OUTSIDE	MS - GR250	NATURAL			LASERCUT			CL	CL		C:\AWS PDM\AWS\	AWS-A-001566	Default		14.3	19/08/2020						12	-	
1.2.1.1.1.3.1	            		1	Sheet	MS - GR250												Default		14.3							12		
1.2.1.1.1.4	          AWS-A-001568	2	1	HEAD DRIVE PLATE INSIDE	MS	NATURAL			LASERCUT			CL	DG		C:\AWS PDM\AWS\	AWS-A-001568	Default		2.7	19/08/2020						6	-	
1.2.1.1.1.4.1	            		1	Sheet	MS												Default		2.7							6		
1.2.1.1.1.5	          AWS-A-001571	2	2	MID DRIVE PLATE OUTSIDE	MS - GR250	NATURAL			LASERCUT			CL	CL		C:\AWS PDM\AWS\	AWS-A-001571	Default		12.8	19/08/2020						12	-	
1.2.1.1.1.5.1	            		1	Sheet	MS - GR250												Default		12.8							12		
1.2.1.1.1.6	          AWS-A-001574	3	2	MID DRIVE PLATE INSIDE	MS - GR250	NATURAL			LASERCUT			CL	DG		C:\AWS PDM\AWS\	AWS-A-001574	Default		5.2	19/08/2020						6	-	
1.2.1.1.1.6.1	            		1	Sheet	MS - GR250												Default		5.2							6		
1.2.1.1.1.7	          AWS-A-001577	2	1	TAIL PLATE INSIDE	MS - GR250	NATURAL			LASERCUT			CL	DG		C:\AWS PDM\AWS\	AWS-A-001577	Default		2.3	19/08/2020						6	YES	
1.2.1.1.1.7.1	            		1	Sheet	MS - GR250												Default		2.3							6		
1.2.1.1.1.8	          AWS-A-001580	1	3	TENSIONER SUPPORT	MS - GR250	NATURAL			LASERCUT			CL	CL		C:\AWS PDM\AWS\	AWS-A-001580	Default		0.2	19/08/2020						12	-	
1.2.1.1.1.8.1	            		1	Sheet	MS - GR250												Default		0.2							12		
1.2.1.1.2	        AWS-B-001594	4	1	CONVEYOR STRINGER WELDMENT	MS	NATURAL			WELDING			CL	CL		C:\AWS PDM\AWS\	AWS-B-001594	Default		150.3	19/08/2020							-	
1.2.1.1.2.1	          AWS-A-001595	3	1	CONVEYOR STRINGER - 3 DRIVE	MS - GR250	NATURAL			3D LASER			CL	CL		C:\AWS PDM\AWS\	AWS-A-001595	Default<As Machined>		79.5	19/08/2020							-	
1.2.1.1.2.2	          AWS-B-001560	1	3	CONVEYOR SUPPORT LEG WELDMENT	MS	NATURAL			WELDING			CL	CL		C:\AWS PDM\AWS\	AWS-B-001560	Default		5.0	19/08/2020							-	
1.2.1.1.2.2.1	            AWS-A-001559	1	1	SUPPORT LEG	MS - C350LO	NATURAL			CUTTING			CL	DG		C:\AWS PDM\AWS\	AWS-A-001559	Default<As Machined>		3.3	19/08/2020							-	
1.2.1.1.2.2.1.1	              		1	75x75x5.0 SHS	AS 1163-C350LO												Default<As Machined>		3.3									
1.2.1.1.2.2.2	            AWS-A-001557	2	1	SUPPORT LEG FOOT PLATE	MS - GR250	NATURAL			LASERCUT			CL	DG		C:\AWS PDM\AWS\	AWS-A-001557	Default		1.7	19/08/2020						16	-	
1.2.1.1.2.2.2.1	              		1	Sheet	MS - GR250												Default		1.7							16		
1.2.1.1.2.3	          AWS-A-001566	2	1	HEAD DRIVE PLATE OUTSIDE	MS - GR250	NATURAL			LASERCUT			CL	CL		C:\AWS PDM\AWS\	AWS-A-001566	Default		14.3	19/08/2020						12	-	
1.2.1.1.2.3.1	            		1	Sheet	MS - GR250												Default		14.3							12		
1.2.1.1.2.4	          AWS-A-001568	2	1	HEAD DRIVE PLATE INSIDE	MS	NATURAL			LASERCUT			CL	DG		C:\AWS PDM\AWS\	AWS-A-001568	Default		2.7	19/08/2020						6	-	
1.2.1.1.2.4.1	            		1	Sheet	MS												Default		2.7							6		
1.2.1.1.2.5	          AWS-A-001571	2	2	MID DRIVE PLATE OUTSIDE	MS - GR250	NATURAL			LASERCUT			CL	CL		C:\AWS PDM\AWS\	AWS-A-001571	Default		12.8	19/08/2020						12	-	
1.2.1.1.2.5.1	            		1	Sheet	MS - GR250												Default		12.8							12		
1.2.1.1.2.6	          AWS-A-001574	3	2	MID DRIVE PLATE INSIDE	MS - GR250	NATURAL			LASERCUT			CL	DG		C:\AWS PDM\AWS\	AWS-A-001574	Default		5.2	19/08/2020						6	-	
1.2.1.1.2.6.1	            		1	Sheet	MS - GR250												Default		5.2							6		
1.2.1.1.2.7	          AWS-A-001577	2	1	TAIL PLATE INSIDE	MS - GR250	NATURAL			LASERCUT			CL	DG		C:\AWS PDM\AWS\	AWS-A-001577	Default		2.3	19/08/2020						6	YES	
1.2.1.1.2.7.1	            		1	Sheet	MS - GR250												Default		2.3							6		
1.2.1.1.2.8	          AWS-A-001580	1	3	TENSIONER SUPPORT	MS - GR250	NATURAL			LASERCUT			CL	CL		C:\AWS PDM\AWS\	AWS-A-001580	Default		0.2	19/08/2020						12	-	
1.2.1.1.2.8.1	            		1	Sheet	MS - GR250												Default		0.2							12		
1.2.1.1.3	        AWS-A-001584	3	2	CONVEYOR TAIL END PLATE	MS - GR250	NATURAL			LASERCUT	FOLDING		CL	CL		C:\AWS PDM\AWS\	AWS-A-001584	Default		10.3	19/08/2020						6	YES	
1.2.1.1.3.1	          		1	Sheet	MS - GR250												Default		10.3							6		
1.2.1.1.4	        AWS-A-001585	2	3	FLOOR SUPPORT CENTRE	MS - GR250	NATURAL			LASERCUT	FOLDING		CL	CL		C:\AWS PDM\AWS\	AWS-A-001585	Default		8.7	19/08/2020						6	-	
1.2.1.1.4.1	          		1	Sheet	MS - GR250												Default		8.7							6		
1.2.1.1.5	        AWS-A-001587	2	4	FLOOR SUPPORT PLATE	MS - GR250	NATURAL			LASERCUT			CL	CL		C:\AWS PDM\AWS\	AWS-A-001587	Default		3.6	19/08/2020						6	-	
1.2.1.1.5.1	          		1	Sheet	MS - GR250												Default		3.6							6		
1.2.1.1.6	        AWS-A-001593	1	4	CABLE TRAY SUPPORT BRKT	MS - GR250	NATURAL			LASERCUT			CL	CL		C:\AWS PDM\AWS\	AWS-A-001593	Default		0.2	19/08/2020						6	-	
1.2.1.1.6.1	          		1	Sheet	MS - GR250												Default		0.2							6		
1.2.1.1.7	        DIN 929-M8-N		4	M8 HEX WELD NUT - DIN 929	Mild Steel	NATURAL			Fasteners						C:\AWS PDM\Solidworks Data\Toolbox\browser\AWS Toolbox\nuts\Weld Nuts\	weld nut 01_1_din	DIN 929-M8-N		0.0			Costless Bolts						
1.2.2	    AWS-B-001597	1	12	BEARING CLAMP DRIVE - WELDMENT	REFER TO BOM	ZINC			WELDING			CL	CL		C:\AWS PDM\AWS\	AWS-B-001597	Default		0.9	19/08/2020							-	
1.2.2.1	      AWS-A-001596	1	1	BEARING CLAMP DRIVE PLATE	MS - GR250	NATURAL			LASERCUT	MACHINE		CL	CL		C:\AWS PDM\AWS\	AWS-A-001596	Default		0.7	19/08/2020						8	-	
1.2.2.1.1	        		1	Sheet	MS - GR250												Default		0.7							8		
1.2.2.2	      B18.3.5M - 16 x 2.0 x 55 Socket FCHS  -- 55NMS		2	COUNTER SINK M16 X 55 MILD STEEL SOCKET HEAD SCREW	Mild Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\bolts and screws\socket head screws\	socket countersunk head screw_1_am	B18.3.5M - 16 x 2.0 x 55 Socket FCHS  -- 55NMS		0.101			Costless Bolts						
1.2.3	    AWS-B-001638	1	2	IN FILL PAINT ASSY	REFER TO BOM	POWDERCOAT		PEARL WHITE - GLOSS: 236,242,241	PAINT			CL	CL		C:\AWS PDM\AWS\	AWS-B-001638	Default		53.9	19/08/2020							-	
1.2.3.1	      AWS-B-001623	1	1	IN FILL WELDMENT	SEE COMPONENT DRAWINGS	NATURAL			WELDING			CL	CL		C:\AWS PDM\AWS\	AWS-B-001623	Default		53.9	19/08/2020							-	
1.2.3.1.1	        AWS-A-001622	1	1	IN FILL	MS Checker Plate	NATURAL			LASERCUT	MACHINE		CL	DG		C:\AWS PDM\AWS\	AWS-A-001622	Default		53.8	19/08/2020						5	-	
1.2.3.1.1.1	          		1	Sheet	MS Checker Plate												Default		53.8							5		
1.2.3.1.2	        AS 1112.1 S1 - M16-D-NMS		2	M16 HEX NUT MS Z/P	Mild Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\nuts\hex nuts\	hexagon nut style 1 (grades a and b)_as	AS 1112.1 S1 - M16-D-NMS		0.039			Costless Bolts						
1.2.4	    AWS-B-001639	1	1	IN FILL PAINT ASSY - MIDDLE	REFER TO BOM	POWDERCOAT		PEARL WHITE - GLOSS: 236,242,241	PAINT			CL	CL		C:\AWS PDM\AWS\	AWS-B-001639	Default		54.7	19/08/2020							-	
1.2.4.1	      AWS-B-001627	1	1	IN FILL WELDMENT - MIDDLE	SEE COMPONENT DRAWINGS	NATURAL			WELDING			CL	CL		C:\AWS PDM\AWS\	AWS-B-001627	Default		54.7	19/08/2020							-	
1.2.4.1.1	        AWS-A-001626	1	1	IN FILL - MIDDLE	MS Checker Plate	NATURAL			LASERCUT	MACHINE		CL	DG		C:\AWS PDM\AWS\	AWS-A-001626	Default		54.6	19/08/2020						5	-	
1.2.4.1.1.1	          		1	Sheet	MS Checker Plate												Default		54.6							5		
1.2.4.1.2	        AS 1112.1 S1 - M16-D-NMS		2	M16 HEX NUT MS Z/P	Mild Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\nuts\hex nuts\	hexagon nut style 1 (grades a and b)_as	AS 1112.1 S1 - M16-D-NMS		0.039			Costless Bolts						
1.2.5	    AWS-B-001607	1	6	TENSIONER WELDMENT	REFER TO BOM	ZINC			WELDING			CL	CL		C:\AWS PDM\AWS\	AWS-B-001607	Default		0.3	19/08/2020							-	
1.2.5.1	      AWS-A-001605	1	1	TENSIONER BLOCK	MS	NATURAL			MACHINE			CL	CL		C:\AWS PDM\AWS\	AWS-A-001605	Default		0.1	19/08/2020							-	
1.2.5.2	      AWS-A-001606	1	1	TENSIONER ALL THREAD	12mm Allthread ZP	NATURAL			CUTTING			CL	CL		C:\AWS PDM\AWS\	AWS-A-001606	Default		0.1	19/08/2020							-	
1.2.6	    AWS-A-001613	1	2	CHAIN GUIDE TOP FRONT	UHMWPE Black	NATURAL			PROFILE CUT			CL	CL		C:\AWS PDM\AWS\	AWS-A-001613	Default		2.0	19/08/2020							-	
1.2.7	    AWS-A-001614	1	2	CHAIN GUIDE TOP MIDDLE	UHMWPE Black	NATURAL			PROFILE CUT			CL	CL		C:\AWS PDM\aws\	AWS-A-001614	Default		0.5	19/08/2020							-	
1.2.8	    AWS-A-001615	1	2	CHAIN GUIDE TOP BACK	UHMWPE Black	NATURAL			PROFILE CUT			CL	CL		C:\AWS PDM\AWS\	AWS-A-001615	Default		2.0	19/08/2020							-	
1.2.9	    AWS-A-001616	2	6	CHAIN GUIDE BOTTOM	UHMWPE Black	NATURAL			PROFILE CUT			CL	CL		C:\AWS PDM\AWS\	AWS-A-001616	Default		0.8	19/08/2020							-	
1.2.10	    AWS-A-001617	1	3	DRIVE COVER - OPEN	SS304 2B - NO PVC	NATURAL			LASERCUT	FOLDING		CL	CL		C:\AWS PDM\aws\	AWS-A-001617	Default		0.1	19/08/2020						2	-	
1.2.10.1	      		1	Sheet	SS304 2B - NO PVC												Default		0.1							2		
1.2.11	    AWS-A-001618	1	3	DRIVE COVER - CLOSED	SS304 2B - NO PVC	NATURAL			LASERCUT	FOLDING		CL	CL		C:\AWS PDM\aws\	AWS-A-001618	Default		0.2	19/08/2020						2	-	
1.2.11.1	      		1	Sheet	SS304 2B - NO PVC												Default		0.2							2		
1.2.12	    AWS-A-001619	1	6	COVER TAIL	SS304 2B - NO PVC	NATURAL			LASERCUT			CL	CL		C:\AWS PDM\aws\	AWS-A-001619	Default		0.1	19/08/2020						2		
1.2.12.1	      		1	Sheet	SS304 2B - NO PVC												Default		0.1							2		
1.2.13	    AWS-Z-001621	1	3	SENSOR MOUNT ASSY	AS PER BOM	NATURAL			ASSEMBLY			CL	CL		C:\AWS PDM\AWS\	AWS-Z-001621	Default		1.6	19/08/2020							-	
1.2.13.1	      AWS-A-001640	1	1	SENSOR MOUNT - UNISTRUT P1000	MS	ZINC			PURCHASE	CUTTING		CL	CL		C:\AWS PDM\AWS\	AWS-A-001640	Default<As Machined>		1.3	19/08/2020							-	
1.2.13.1.1	        		1		MS												Default<As Machined>											
1.2.13.2	      AWS-A-002792	1	1	SENSOR SUPPORT BRACKET - WTB26	SS304 2B - NO PVC	NATURAL			LASERCUT	FOLDING		CL	CL		C:\AWS PDM\AWS\	AWS-A-002792	Default		0.2	19/08/2020						2.0	-	
1.2.13.2.1	        		1	Sheet	SS304 2B - NO PVC												Default		0.2							2		
1.2.13.3	      OEM-P1006	-	1	 M6 STRUT NUT WITH SPRING	REFER DATA SHEET	NATURAL	 		PURCHASE			MF			C:\AWS PDM\oem\1034. misc component\	OEM-P1006	Default		5.910	19/03/2019	https://www.unistrut.com.au/index.php?Part=STRUT-NUTS-WITH-SPRINGS&Sys=Strut-Systems	L&H	W:\Solidworks\Proprietry\3 QBooks Cat\OEM Data Sheets	1034	Misc Component		YES	P1006
1.2.13.4	      OEM-WTB26-24161120AA00	-	1	PHOTOELECTRIC SENSOR - WTB26	REFER DATA SHEET	NATURAL			PURCHASE			MJF			C:\AWS PDM\OEM\1046. Sensors\	OEM-WTB26-24161120AA00	Default		95.65	23/07/2019	https://www.sick.com/au/en/photoelectric-sensors/photoelectric-sensors/w26/wtb26p-24161120a00/p/p512762	SICK	W:\Solidworks\Proprietry\3 QBooks Cat\OEM Data Sheets\1046_SICK SENSOR WTB26-24161120AA00.pdf	1046	Sensors		YES	WTB26-24161120AA00
1.2.13.5	      AS 1420 - M4 x 35-NSS		2	M4 X 35 SOCKET HEAD SCREW - SS	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\bolts and screws\socket head screws\	hexagon socket head cap screw_1_as	AS 1420 - M4 x 35-NSS		0.00			Costless Bolts						
1.2.13.6	      GB_HEXAGON_TYPE9 M4-SSS		2	M4 Nyloc Nut -SS	Stainless Steel				Fasteners						c:\aws pdm\solidworks data\toolbox\browser\aws toolbox\nuts\nyloc\	prevailing torque type style 1_gb	GB_HEXAGON_TYPE9 M4-SSS		0.0			Costless Bolts						
